text,tweet_ids,sentiment1
@joelzobel @gmanetwork @dzbb @COMELEC Thank you po sa bagong tulay VP Leni. Mabuhay po kayo. LOLS #dutertelegacy #BuildBuildBuild [LINK],['1463704508962426881'],0
"Ako si Paulette ng @R4EBulSU at buong-puso at lakas kong sinusuportahan sa pagkasenador si Neri Colmenares sa darating na halalan. Isang human rights advocate, martial law survivor, galit at ayaw sa korapsyon at diktadura! #WeWantNeri #GenuineOpposition",['1448957885673734145'],0
Ping lacson galit sa corrupt! Iboto sa halalan 2022! Philippines Philippines Philippines #SinongPangGiyeraMo #LacsonSottoPanaloTayo #5PresidentePingLacson,['1510506096762712067'],0
"Lol first of all, matagal nang ganyan si Madam Leni kahit nung wala pang eleksyon, at kahit nung hindi pa sya VP. face with rolling eyes [LINK]",['1472322823188213764'],0
"@Sunflowermacy Laban kung laban.Tara nay,makipag laban Tau para KY BBM - SARA ,sa election. victory hand oncoming fist victory hand",['1462785978175668226'],0
@Baesil1998 @MiaMagdalena Same here. As the Election Day approach pakiramdam ko malapit na tayo mabalot ng dilim. Mas ramdam ko pa ang takot now kesa nung kasagsagan ng pandemya. Pero naniniwala ako na hindi tayo pababayaan ng Diyos. Laban lang!,['1510605425980624897'],0
Yung ang saya ko ksi prang konti konti ng nabalik sa dati yung mundo ksi malapit na eleksyon,['1448414565536972800'],0
"Mga ka-loyalista, ibinasura ng COMELEC ang isa sa mga Petitions upang idisqualify ang kandidatura ni BBM! red heart victory hand #BBMisMyPresident2022 #BBMFORPRESIDENT2022 #MarcosPaRin #MarcosLatta [LINK]",['1472739839837556736'],0
"Grabe tawa ko ngayun lang face with tears of joy , skl i just share a post na natawa lang ako tas may nag react through comment paka sensitive niyo naman sa manok niyo ngayung election face with tears of joy",['1453735327923798024'],0
Election season or not. Hindi lang pa-aerial inspection. On the ground magtrabaho si VP Leni. #LeniRobredo2022 #LeniforPresident2022 #LeniKiko2022 #LabanLeni2022 #LetLeniLead2022 [LINK],['1472867730445729793'],0
Kapag talaga nanalo si vp leni sa election iiyak talaga ako nang malala sa sobrang saya,['1505390454870749185'],0
