pseudo_id,text,retweetCount,replyCount,likeCount,quoteCount,viewCount,bookmarkCount,createdAt,lang,isReply,pseudo_conversationId,pseudo_inReplyToUsername,pseudo_author_userName,author_isBlueVerified,predicted_id,predicted_label
4.12E+14,"@850433525081770 Kung ganun, dapat lang na lalong HINDI IBOTO ang mga VILLAR sa pahayag na yan. Dahil para sa kanila, ang serbisyo publiko ay utang na loob ng mga tao at dapat pagbayaran sa oras ng botohan. Hindi pala bukal sa puso nila at kusang loob na binibigay.",0,0,0,0,25,0,2024-12-25 15:50:16+00:00,tl,TRUE,8.05E+14,8.50E+14,3.13E+14,FALSE,0,0
2.56E+14,"@664138562411848 Pinoy Matalino ka, Bumoto ng Tama! Protect West Philippine Sea Against China",0,0,1,0,24,0,2024-12-27 10:54:34+00:00,tl,TRUE,1.40E+14,6.64E+14,1.13E+14,FALSE,2,2
3.73E+14,@530930581291075 @805186290282930 Bakit totoo naman di ba yung nireplyan mo ano ba nakalagay doon di ba .may gustong sumira eh sa pic na yun eh nakamention si Ken .yung maktol mo ang sinasabi ko maktol ka na kaya di nakalamng si pablo sa mga botohan eh dahil strategy nyo pavictim kayo,0,1,0,0,26,0,2024-12-25 05:58:34+00:00,tl,TRUE,4.26E+14,5.31E+14,8.22E+14,FALSE,1,1
8.74E+14,"@995815478201195 Lito Lapid? Walang silbe sa Senado yan, Director pa sa Batang Quiapo! Hindi na dapat paswelduhan yan ng taong nayan! Walang alam sa Law dahil Baka nga law breaker pa raw siya! Please wag ng iboto yan! Bumalik nalang siya maging artistang laos at kapos!",0,0,0,0,71,0,2024-12-29 02:21:49+00:00,tl,TRUE,1.38E+14,9.96E+14,2.70E+14,FALSE,1,1
8.32E+14,bawal mag celebrate ang'di bumoto [EMOJI grinning squinting face],0,0,0,0,43,0,2024-12-28 16:15:50+00:00,tl,FALSE,8.32E+14,,6.86E+14,FALSE,0,0
4.19E+14,"@923158037539221 Sa darating na halalan, nawa'y piliin rin natin ang mga senatoriables na walang takot na tumitindig para sa mga Palestino Tulad nina Rep @349986910428248 @139471766966213 @769160360081498 at ng slate ng @427628574633876 dahil ang laban ng Pilipino-Palestino'y iisa! #TaumbayanSaSenado [LINK]",48,0,266,0,49954,40,2024-12-29 06:54:26+00:00,tl,TRUE,7.81E+14,9.77E+14,9.77E+14,FALSE,0,0
1.56E+14,So anong point ng hate train kay Daisuke? Eh from 2005 mga minor silang lahat. Dahil na sa top 8 kaya wag iboto tapos yung mga bet niyo hindi front runner? [EMOJI smirking face],0,0,0,0,168,0,2024-12-30 17:20:05+00:00,tl,FALSE,1.56E+14,,8.09E+14,FALSE,1,1
2.44E+14,@928516477734770 @240397815635527 @730149106460702 @280093147721937 @619785416789847 Sige sipagan natin bumoto Kay bunso at jan nasusukat ang sipag at tiyaga. Thanks,0,1,4,0,76,0,2024-12-28 11:46:51+00:00,tl,TRUE,7.18E+14,9.29E+14,9.41E+14,FALSE,0,0
3.06E+14,@403780272519270 Kaya alam n ung mga ddshits n senator or mayor wag n iboto pro china yang mga yan,0,0,0,0,5,0,2024-12-27 13:49:29+00:00,tl,TRUE,3.11E+14,4.04E+14,8.10E+14,FALSE,1,1
5.04E+14,"@776614900414751 Hoy Grade 1. Kapag hindi mo inisip ang interes ng kalahati ng bumoto sa iyo, aangal yan. Sensido common.",2,3,9,1,872,0,2024-12-27 02:07:51+00:00,tl,TRUE,1.53E+13,1.06E+14,1.06E+14,FALSE,1,1
